model,forcing,season,period,estimate,se,df,expand
MRI.1,hist-GHG,DJF,`1979--1999`,-0.00602417655286396,0.0114308473217727,34,2.03224450931772
MRI.1,hist-GHG,DJF,`2000--2014`,0.0293586746026371,0.0148366261768612,34,2.03224450931772
MRI.1,hist-GHG,JJA,`1979--1999`,-0.00955820793054952,0.01009352448298,33,2.03451529744934
MRI.1,hist-GHG,JJA,`2000--2014`,-0.00173101469490359,0.0141249249481197,33,2.03451529744934
MRI.1,hist-stratO3,DJF,`1979--1999`,-0.0260114954008489,0.0193533910457786,34,2.03224450931772
MRI.1,hist-stratO3,DJF,`2000--2014`,0.0108030819748407,0.025119662621502,34,2.03224450931772
MRI.1,hist-stratO3,JJA,`1979--1999`,0.0132298064696955,0.0144464028509012,33,2.03451529744934
MRI.1,hist-stratO3,JJA,`2000--2014`,-0.0127018272153948,0.020216363113139,33,2.03451529744934
CanESM5,historical,DJF,`1979--1999`,0.0793705412710947,0.00933434364488232,34,2.03224450931772
CanESM5,historical,DJF,`2000--2014`,0.00396519840332342,0.0121154769517123,34,2.03224450931772
CanESM5,historical,JJA,`1979--1999`,0.00804977206386557,0.00517369569751576,33,2.03451529744934
CanESM5,historical,JJA,`2000--2014`,0.0186698236360985,0.00724009374079849,33,2.03451529744934
IPSL-CM6A-LR,historical,DJF,`1979--1999`,0.0557727025005124,0.0103617416666841,34,2.03224450931772
IPSL-CM6A-LR,historical,DJF,`2000--2014`,0.00444393362203598,0.0134489844297874,34,2.03224450931772
IPSL-CM6A-LR,historical,JJA,`1979--1999`,0.00863221131063868,0.00722724734801848,33,2.03451529744934
IPSL-CM6A-LR,historical,JJA,`2000--2014`,0.00630817205937722,0.0101138434393651,33,2.03451529744934
MIROC-ES2L,historical,DJF,`1979--1999`,0.047243656074777,0.0111342432413518,34,2.03224450931772
MIROC-ES2L,historical,DJF,`2000--2014`,0.00662756520465002,0.0144516500031917,34,2.03224450931772
MIROC-ES2L,historical,JJA,`1979--1999`,0.0131946005534686,0.00593903661703973,33,2.03451529744934
MIROC-ES2L,historical,JJA,`2000--2014`,0.0085012624818018,0.00831111537117446,33,2.03451529744934
MIROC6,historical,DJF,`1979--1999`,0.03519029274098,0.00912446696825329,34,2.03224450931772
MIROC6,historical,DJF,`2000--2014`,0.00420310232878018,0.0118430682923423,34,2.03224450931772
MIROC6,historical,JJA,`1979--1999`,7.57264350166665e-05,0.00571827605097817,33,2.03451529744934
MIROC6,historical,JJA,`2000--2014`,0.0166073766098332,0.00800218201173377,33,2.03451529744934
MRI-ESM2-0,historical,DJF,`1979--1999`,0.0443370732409532,0.0136526690366107,34,2.03224450931772
MRI-ESM2-0,historical,DJF,`2000--2014`,0.00847227500878485,0.0177204314877672,34,2.03224450931772
MRI-ESM2-0,historical,JJA,`1979--1999`,0.0168375006527749,0.0122096913489257,33,2.03451529744934
MRI-ESM2-0,historical,JJA,`2000--2014`,0.0223005582384503,0.0170862986694183,33,2.03451529744934
